GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2),Winner(PlayerIdx)
-1491060889,SushiGo,3,GAME_OVER,98,0,4,32,BasicMCTS,38.0,29.0,34.0,60.0,mcts,rhea,rheaT2,2,BasicMCTS,2,4,4,3,3,1,mcts,1,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,2
-1819802610,SushiGo,3,GAME_OVER,98,0,4,33,BasicMCTS,36.0,33.0,26.0,35.0,mcts,rhea,rheaT2,1,BasicMCTS,1,3,3,4,4,2,mcts,2,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,1
-2121274456,SushiGo,3,GAME_OVER,98,0,4,34,BasicMCTS,39.0,26.0,25.0,38.0,mcts,rhea,rheaT2,1,BasicMCTS,1,3,3,4,4,2,mcts,2,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,1
259280696,SushiGo,3,GAME_OVER,98,0,4,35,BasicMCTS,40.0,27.0,34.0,36.0,mcts,rhea,rheaT2,1,BasicMCTS,1,4,4,3,3,2,mcts,2,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,1
1706137030,SushiGo,3,GAME_OVER,97,0,4,36,BasicMCTS,30.0,25.0,43.0,33.0,mcts,rhea,rheaT2,3,BasicMCTS,3,4,4,1,1,2,mcts,2,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,3
545138396,SushiGo,3,GAME_OVER,98,0,4,37,BasicMCTS,51.0,27.0,24.0,40.0,mcts,rhea,rheaT2,1,BasicMCTS,1,3,3,4,4,2,mcts,2,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,1
1376458976,SushiGo,3,GAME_OVER,98,0,4,38,BasicMCTS,45.0,32.0,27.0,39.0,mcts,rhea,rheaT2,1,BasicMCTS,1,3,3,4,4,2,mcts,2,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,1
1195311045,SushiGo,3,GAME_OVER,98,0,4,39,BasicMCTS,38.0,29.0,23.0,26.0,mcts,rhea,rheaT2,1,BasicMCTS,1,2,2,4,4,3,mcts,3,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,1
813477029,SushiGo,3,GAME_OVER,98,0,4,40,BasicMCTS,35.0,27.0,36.0,37.0,mcts,rhea,rheaT2,3,BasicMCTS,3,4,4,2,2,1,mcts,1,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,2
-1466178614,SushiGo,3,GAME_OVER,96,0,4,41,BasicMCTS,43.0,21.0,25.0,38.0,mcts,rhea,rheaT2,1,BasicMCTS,1,4,4,3,3,2,mcts,2,rhea,rheaT2,mcts,BasicMCTS,rheaT2,rhea,1
346665430,SushiGo,3,GAME_OVER,98,0,4,42,BasicMCTS,35.0,21.0,38.0,50.0,rheaT2,mcts,rhea,3,BasicMCTS,3,4,4,2,2,1,rheaT2,1,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,2
879079583,SushiGo,3,GAME_OVER,96,0,4,43,BasicMCTS,39.0,25.0,39.0,33.0,rheaT2,mcts,rhea,1,BasicMCTS,1,4,4,2,2,3,rheaT2,3,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,1
-619666105,SushiGo,3,GAME_OVER,98,0,4,44,BasicMCTS,43.0,27.0,21.0,43.0,rheaT2,mcts,rhea,2,BasicMCTS,2,3,3,4,4,1,rheaT2,1,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,2
503938916,SushiGo,3,GAME_OVER,96,0,4,45,BasicMCTS,41.0,40.0,33.0,32.0,rheaT2,mcts,rhea,1,BasicMCTS,1,2,2,3,3,4,rheaT2,4,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,1
-428737539,SushiGo,3,GAME_OVER,96,0,4,46,BasicMCTS,31.0,28.0,49.0,38.0,rheaT2,mcts,rhea,3,BasicMCTS,3,4,4,1,1,2,rheaT2,2,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,3
-1745970416,SushiGo,3,GAME_OVER,97,0,4,47,BasicMCTS,37.0,32.0,33.0,35.0,rheaT2,mcts,rhea,1,BasicMCTS,1,4,4,3,3,2,rheaT2,2,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,1
-1436161366,SushiGo,3,GAME_OVER,97,0,4,48,BasicMCTS,30.0,21.0,43.0,40.0,rheaT2,mcts,rhea,3,BasicMCTS,3,4,4,1,1,2,rheaT2,2,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,3
-1151041315,SushiGo,3,GAME_OVER,96,0,4,49,BasicMCTS,31.0,26.0,30.0,30.0,rheaT2,mcts,rhea,1,BasicMCTS,1,4,4,2,2,3,rheaT2,3,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,1
697067980,SushiGo,3,GAME_OVER,100,0,4,50,BasicMCTS,33.0,41.0,46.0,42.0,rheaT2,mcts,rhea,4,BasicMCTS,4,3,3,1,1,2,rheaT2,2,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,3
1168140970,SushiGo,3,GAME_OVER,100,0,4,51,BasicMCTS,20.0,53.0,41.0,31.0,rheaT2,mcts,rhea,4,BasicMCTS,4,1,1,2,2,3,rheaT2,3,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,0
-1491060889,SushiGo,3,GAME_OVER,97,0,4,52,BasicMCTS,24.0,34.0,40.0,43.0,rheaT2,mcts,rhea,4,BasicMCTS,4,3,3,2,2,1,rheaT2,1,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,2
-1819802610,SushiGo,3,GAME_OVER,97,0,4,53,BasicMCTS,22.0,25.0,30.0,41.0,rheaT2,mcts,rhea,4,BasicMCTS,4,3,3,2,2,1,rheaT2,1,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,2
-2121274456,SushiGo,3,GAME_OVER,97,0,4,54,BasicMCTS,33.0,23.0,34.0,38.0,rheaT2,mcts,rhea,3,BasicMCTS,3,4,4,2,2,1,rheaT2,1,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,2
259280696,SushiGo,3,GAME_OVER,99,0,4,55,BasicMCTS,21.0,30.0,34.0,36.0,rheaT2,mcts,rhea,4,BasicMCTS,4,3,3,2,2,1,rheaT2,1,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,2
1706137030,SushiGo,3,GAME_OVER,98,0,4,56,BasicMCTS,40.0,30.0,38.0,37.0,rheaT2,mcts,rhea,1,BasicMCTS,1,4,4,2,2,3,rheaT2,3,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,1
545138396,SushiGo,3,GAME_OVER,97,0,4,57,BasicMCTS,35.0,31.0,34.0,41.0,rheaT2,mcts,rhea,2,BasicMCTS,2,4,4,3,3,1,rheaT2,1,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,2
1376458976,SushiGo,3,GAME_OVER,99,0,4,58,BasicMCTS,28.0,36.0,47.0,29.0,rheaT2,mcts,rhea,4,BasicMCTS,4,2,2,1,1,3,rheaT2,3,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,3
1195311045,SushiGo,3,GAME_OVER,98,0,4,59,BasicMCTS,35.0,25.0,25.0,32.0,rheaT2,mcts,rhea,1,BasicMCTS,1,3,3,4,4,2,rheaT2,2,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,1
813477029,SushiGo,3,GAME_OVER,100,0,4,60,BasicMCTS,31.0,29.0,37.0,28.0,rheaT2,mcts,rhea,2,BasicMCTS,2,3,3,1,1,4,rheaT2,4,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,3
-1466178614,SushiGo,3,GAME_OVER,98,0,4,61,BasicMCTS,38.0,30.0,31.0,43.0,rheaT2,mcts,rhea,2,BasicMCTS,2,4,4,3,3,1,rheaT2,1,mcts,rhea,rheaT2,BasicMCTS,rhea,mcts,2
346665430,SushiGo,3,GAME_OVER,97,0,4,62,BasicMCTS,35.0,27.0,42.0,40.0,rheaT2,rhea,mcts,3,BasicMCTS,3,4,4,1,1,2,rheaT2,2,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,3
879079583,SushiGo,3,GAME_OVER,97,0,4,63,BasicMCTS,31.0,36.0,32.0,39.0,rheaT2,rhea,mcts,4,BasicMCTS,4,2,2,3,3,1,rheaT2,1,rhea,mcts,rheaT2,BasicMCTS,mcts,rhea,2
